tree_cover,nbart_blue_temporal_median,nbart_blue_temporal_std,nbart_blue_focal_mean,nbart_blue_focal_std,nbart_green_temporal_median,nbart_green_temporal_std,nbart_green_focal_mean,nbart_green_focal_std,nbart_red_temporal_median,nbart_red_temporal_std,nbart_red_focal_mean,nbart_red_focal_std,nbart_red_edge_1_temporal_median,nbart_red_edge_1_temporal_std,nbart_red_edge_1_focal_mean,nbart_red_edge_1_focal_std,nbart_red_edge_2_temporal_median,nbart_red_edge_2_temporal_std,nbart_red_edge_2_focal_mean,nbart_red_edge_2_focal_std,nbart_red_edge_3_temporal_median,nbart_red_edge_3_temporal_std,nbart_red_edge_3_focal_mean,nbart_red_edge_3_focal_std,nbart_nir_1_temporal_median,nbart_nir_1_temporal_std,nbart_nir_1_focal_mean,nbart_nir_1_focal_std,nbart_nir_2_temporal_median,nbart_nir_2_temporal_std,nbart_nir_2_focal_mean,nbart_nir_2_focal_std,nbart_swir_2_temporal_median,nbart_swir_2_temporal_std,nbart_swir_2_focal_mean,nbart_swir_2_focal_std,nbart_swir_3_temporal_median,nbart_swir_3_temporal_std,nbart_swir_3_focal_mean,nbart_swir_3_focal_std,EVI_temporal_median,EVI_temporal_std,EVI_focal_mean,EVI_focal_std,NDVI_temporal_median,NDVI_temporal_std,NDVI_focal_mean,NDVI_focal_std,GRNDVI_temporal_median,GRNDVI_temporal_std,GRNDVI_focal_mean,GRNDVI_focal_std,y,x,tile_id,year
1.0,197.5,90.719,248.12962,82.812805,294.0,81.35872,376.74075,123.71227,236.5,96.941315,334.41357,152.66731,529.0,119.767296,598.7099,182.50621,1292.5,119.167885,1382.358,186.34552,1445.0,140.61572,1559.6914,180.63779,1457.0,150.4694,1665.7161,277.82236,1656.0,148.83356,1732.4691,201.44261,1068.5,193.44177,1090.9259,264.8271,577.0,129.69225,578.8148,174.44524,2.0168028,0.5732838,1.9276435,0.31551626,0.71101344,0.07755867,0.68229276,0.06440311,0.70541215,0.041813202,0.6890833,0.028443275,6089985.0,702415.0,g2_017_binary_tree_cover_10m,2020
1.0,187.5,90.136246,196.64815,6.2228103,293.5,82.43363,299.8395,9.6199,212.5,86.35101,233.24692,10.565021,477.0,93.95157,490.30246,17.674019,1319.5,122.84711,1287.6543,27.079609,1488.0,126.33735,1483.9568,31.404625,1551.5,138.49886,1555.3827,54.635036,1632.5,131.29424,1636.4382,41.73058,861.5,139.56245,888.5926,26.586237,423.5,80.94434,439.73456,14.388746,2.3064575,0.7045157,2.1932085,0.056438494,0.7512268,0.074458174,0.7370506,0.0105055515,0.7116233,0.04556588,0.7116185,0.004099833,6089965.0,702465.0,g2_017_binary_tree_cover_10m,2020
1.0,217.5,87.83883,212.5679,16.947641,334.5,75.532646,326.7716,30.296572,259.0,90.74979,261.84567,41.311245,537.0,92.09219,537.41974,52.767994,1358.0,142.49289,1333.0555,51.9015,1565.0,114.12532,1522.4198,66.2521,1673.5,130.5033,1601.6543,107.58623,1745.5,118.90044,1686.0247,79.94468,964.0,153.1685,980.6667,94.33229,480.5,90.62391,492.71603,60.242302,2.138586,0.3914273,2.09998,0.1668622,0.7318795,0.07035973,0.71661055,0.029131202,0.70599186,0.037187677,0.7005737,0.013171906,6089965.0,702515.0,g2_017_binary_tree_cover_10m,2020
1.0,205.0,86.722755,217.06172,14.770227,310.5,80.19453,330.20987,24.004627,224.0,95.214005,260.65433,29.925781,491.5,93.86067,531.78394,39.398926,1283.0,101.57489,1330.3148,47.69829,1457.0,102.717995,1506.179,60.022205,1481.5,157.17567,1591.2223,109.37446,1611.0,106.59021,1664.3025,69.39722,887.5,174.3137,977.62964,74.657875,437.5,102.14544,490.4568,47.93822,2.3155594,0.55080354,2.1341362,0.12601791,0.7287365,0.07163836,0.714535,0.02479871,0.6825496,0.040087767,0.6952926,0.012516058,6089985.0,702535.0,g2_017_binary_tree_cover_10m,2020
1.0,237.5,95.40133,243.95062,14.084554,354.5,84.43662,364.64197,23.522396,290.5,103.64971,302.24075,30.140804,571.0,94.81373,594.4074,73.94172,1330.5,142.85307,1376.6296,77.504395,1472.5,77.85507,1517.605,73.97069,1529.0,90.70098,1603.3766,81.11692,1628.0,82.7009,1676.1914,78.624886,1099.0,183.30643,1152.747,143.70497,580.0,113.23195,610.24695,95.31205,2.003397,0.47164223,2.0391448,0.113420725,0.6821132,0.077532284,0.68207556,0.017552793,0.6717357,0.037086725,0.67825305,0.0064893025,6089975.0,702595.0,g2_017_binary_tree_cover_10m,2020
1.0,234.5,95.81393,277.50616,67.10591,369.0,84.4059,409.24075,99.14304,298.5,96.91839,379.2716,155.94498,570.5,103.55089,657.3642,116.07902,1341.0,139.89767,1383.8457,102.400536,1480.0,94.26653,1514.4136,100.89895,1603.5,110.96813,1587.7222,165.63734,1614.0,110.15023,1672.1852,111.53983,1105.0,173.17554,1283.6357,233.566,580.0,103.70831,722.42596,170.42891,1.9776163,0.4209031,1.777778,0.41387978,0.68911684,0.07258615,0.61943024,0.096319325,0.6741512,0.036998693,0.6557789,0.028763402,6089965.0,702615.0,g2_017_binary_tree_cover_10m,2020
1.0,320.5,127.89245,272.0247,73.20486,452.5,168.21872,403.12964,107.03482,476.5,237.7426,374.7037,152.23825,790.5,182.44792,652.1667,118.6108,1457.5,152.77156,1354.1914,130.09607,1552.5,238.23347,1498.6234,105.75331,1285.5,348.71008,1571.2716,235.57996,1716.0,235.79993,1653.2037,113.777596,1597.0,340.0278,1284.0062,232.5792,949.5,266.7118,716.0617,172.7061,1.1373142,0.5097425,1.7480695,0.44165945,0.45001343,0.09570522,0.6167571,0.10506283,0.5785446,0.03855802,0.6575591,0.040512472,6089985.0,702655.0,g2_017_binary_tree_cover_10m,2020
1.0,213.0,93.87947,240.7963,19.61067,315.5,84.27467,361.01852,28.651222,248.5,105.037094,312.75925,39.41361,518.0,103.39334,598.20374,64.25336,1258.5,110.44251,1328.6111,87.33417,1391.5,115.994965,1493.3395,90.05331,1415.5,135.2809,1541.8025,96.651825,1533.0,133.77638,1648.4691,98.9537,1006.0,226.78015,1155.1975,115.494835,525.0,134.63225,627.9691,85.04995,2.205408,0.5901711,1.9091908,0.17810756,0.6910745,0.07789785,0.65806985,0.038457405,0.68188405,0.036996372,0.6722674,0.016508106,6089985.0,702695.0,g2_017_binary_tree_cover_10m,2020
1.0,249.0,160.0345,260.16666,59.35481,298.5,217.1524,381.0432,102.35848,277.5,313.27277,344.80246,153.13376,608.5,289.0526,606.4568,145.09343,1223.0,304.5663,1326.7839,192.96654,1265.0,380.7848,1457.2222,205.71681,934.5,527.5754,1521.5,364.7229,1394.0,398.82166,1599.1666,252.46144,1177.5,502.5165,1129.1357,254.4972,728.0,377.27765,626.5864,178.72934,1.0561104,12.626566,1.8750472,0.55127376,0.4947406,0.11359631,0.6307248,0.10405904,0.5689856,0.04850747,0.6529617,0.041886177,6089965.0,702755.0,g2_017_binary_tree_cover_10m,2020
1.0,220.5,104.174614,242.35803,22.826532,332.0,91.43505,345.37036,34.433895,256.5,109.36532,305.62344,66.43046,512.5,107.94172,538.0123,65.10181,1249.0,102.68006,1240.9691,109.99834,1388.0,113.43772,1352.4568,92.81163,1389.5,133.43068,1392.4445,200.85709,1511.0,131.86453,1474.6543,112.94043,921.5,177.78917,1005.8333,110.13827,493.0,97.42062,545.62964,90.3113,2.144702,0.9171951,1.9665222,0.44238248,0.684463,0.07994503,0.635912,0.09219193,0.66377896,0.040401723,0.65187746,0.03756428,6089985.0,702785.0,g2_017_binary_tree_cover_10m,2020
